 ID Command line                          Date and time       Action(s) Altered
273 dnf upgrade -y                        2025-05-04 10:09:10                 4
272 dnf upgrade -y                        2025-05-03 20:14:16               146
271 dnf upgrade --refresh                 2025-05-01 23:41:34                 2
270 dnf upgrade --refresh                 2025-05-01 07:16:24                18
269 dnf upgrade -y                        2025-04-30 07:07:47                16
268 dnf remove desktop-backgrounds-basic  2025-04-29 13:07:28                 5
267 dnf install desktop-backgrounds-basic 2025-04-29 12:05:11                 5
266 dnf upgrade -y                        2025-04-29 09:44:38                26
265 dnf remove code-insiders              2025-04-28 22:55:49                 1
264 dnf install git-gui                   2025-04-28 14:41:52                 3
263 dnf upgrade -y                        2025-04-28 08:18:50                38
262 dnf upgrade -y                        2025-04-27 05:24:53               108
261 dnf remove git-gui                    2025-04-27 05:23:09                 3
260 dnf remove relagit                    2025-04-27 05:21:07                 1
259 dnf install ./RelaGit-linux.rpm       2025-04-27 05:19:22                 1
258 dnf install gitg                      2025-04-27 03:38:48                 6
257 dnf install git-gui                   2025-04-27 03:34:25                 3
256 dnf upgrade -y                        2025-04-24 17:51:31                 4
255 dnf upgrade -y                        2025-04-24 16:30:42                 2
254 dnf upgrade -y                        2025-04-24 08:43:51                 2
253 dnf upgrade -y                        2025-04-24 07:31:17                34
252 dnf upgrade --refresh                 2025-04-24 07:29:19                 2
251 dnf upgrade -y                        2025-04-23 16:14:50                 4
250 dnf upgrade --refresh                 2025-04-23 09:23:18                35
249 dnf upgrade --refresh                 2025-04-22 21:13:25                 2
248 dnf upgrade --refresh                 2025-04-22 08:38:05                 2
247 dnf upgrade --refresh                 2025-04-22 07:09:12                57
246 dnf upgrade --refresh                 2025-04-21 19:33:44                 2
245 dnf upgrade --refresh                 2025-04-21 06:55:35                 2
244 dnf autoremove                        2025-04-20 21:25:08                45
243 dnf remove terraform                  2025-04-20 21:18:39                 1
242 dnf install remove-retired-packages   2025-04-20 21:18:01                 1
241 dnf install gtk4-devel zig libadwaita 2025-04-20 14:17:19                 2
240 dnf upgrade --refresh                 2025-04-20 14:09:43               100
239 dnf install rpmconf                   2025-04-20 11:18:37                 3
238 dnf system-upgrade download --release 2025-04-20 10:09:39              4980
237 dnf remove ghostty                    2025-04-20 10:07:01                 1
236 dnf install code                      2025-04-20 00:32:44                 1
235 dnf install code-insiders             2025-04-19 21:16:09                 1
234 dnf remove code                       2025-04-19 21:14:57                 1
233 dnf upgrade -y                        2025-04-18 12:38:53                26
232 dnf upgrade -y                        2025-04-17 15:45:50                 8
231 dnf upgrade -y                        2025-04-16 22:46:30                 6
230 dnf upgrade -y                        2025-04-16 09:43:39                69
229 dnf upgrade -y                        2025-04-15 09:46:02                74
228 /usr/bin/dnf -y install /home/nachmen 2025-04-10 12:01:28                 2
227 dnf upgrade -y                        2025-04-10 06:41:18                16
226 dnf remove terraform-ls               2025-04-09 12:45:32                 2
225 dnf upgrade -y                        2025-04-09 08:17:44                 4
224 dnf upgrade -y                        2025-04-09 08:14:53                44
223 dnf upgrade -y                        2025-04-06 06:09:57                 2
222 dnf upgrade -y                        2025-04-05 21:39:16                34
221 dnf upgrade -y                        2025-04-02 18:36:14                 4
220 dnf install terraform-ls              2025-04-02 08:20:49                 2
219 dnf upgrade -y                        2025-04-02 06:42:48                61
218 dnf upgrade -y                        2025-04-01 09:41:00                30
217 dnf upgrade -y                        2025-03-31 18:34:48                 4
216 dnf remove opera-stable.x86_64        2025-03-31 07:38:09                 2
215 dnf upgrade -y                        2025-03-31 07:36:34                16
214 dnf autoremove                        2025-03-30 12:59:11                 8
213 dnf upgrade -y                        2025-03-30 12:54:54                82
212 dnf autoremove                        2025-03-29 22:39:59                 7
211 dnf upgrade -y                        2025-03-29 21:45:10                85
210 dnf upgrade -y                        2025-03-28 13:37:08                 2
209 dnf upgrade -y                        2025-03-28 03:00:12                 2
208 dnf upgrade -y                        2025-03-26 18:14:03                 6
207 dnf install terraform                 2025-03-26 12:55:56                 1
206 dnf remove terraform                  2025-03-26 12:54:10                 1
205 dnf --refresh upgrade                 2025-03-26 06:59:17                80
204 dnf --refresh upgrade                 2025-03-26 01:47:06                 6
203 dnf --refresh upgrade                 2025-03-25 06:58:37                16
202 dnf --refresh upgrade                 2025-03-24 23:02:20                 2
201 dnf --refresh upgrade                 2025-03-24 09:20:46                18
200 /usr/bin/dnf -y install /home/nachmen 2025-03-24 06:09:01                 2
199 dnf upgrade -y                        2025-03-22 20:19:00                16
198 dnf install gimp                      2025-03-20 18:34:35                19
197 dnf upgrade -y                        2025-03-20 07:46:56                44
196 dnf upgrade -y                        2025-03-19 21:36:29                22
195 dnf upgrade -y                        2025-03-18 10:08:17                 8
194 dnf upgrade -y                        2025-03-17 10:54:03               148
193 dnf upgrade -y                        2025-03-16 08:49:31                32
192 dnf upgrade -y                        2025-03-15 20:31:42               134
191 dnf upgrade -y                        2025-03-13 09:20:05                98
190 dnf upgrade -y                        2025-03-12 21:37:56                 2
189 dnf remove bat                        2025-03-12 10:47:25                 1
188 dnf upgrade -y                        2025-03-12 06:07:12                32
187 dnf install tcsh                      2025-03-11 05:53:18                 1
186 dnf upgrade -y                        2025-03-10 08:54:29                 8
185 dnf install opera-stable_117.0.5408.5 2025-03-09 11:10:32                 2
184 dnf upgrade -y                        2025-03-09 05:29:03                22
183 dnf remove zen-browser                2025-03-08 20:37:51                 1
182 dnf upgrade -y                        2025-03-08 17:18:51                 6
181 dnf install zen-browser               2025-03-08 17:12:57                 1
180 dnf upgrade -y                        2025-03-07 13:30:06                90
179 dnf install thunderbird               2025-03-07 13:28:08                 2
178 dnf remove thunderbird                2025-03-07 13:10:11                 2
177 dnf upgrade -y                        2025-03-06 05:52:17                50
176 dnf remove megasync.x86_64            2025-03-05 07:17:00                 7
175 dnf remove zoxide                     2025-03-03 09:42:12                 1
174 dnf upgrade -y                        2025-03-02 14:10:37                 8
173 dnf install blackbox-terminal         2025-03-02 08:03:12                 2
172 dnf upgrade -y                        2025-03-02 07:27:04                 2
171 dnf upgrade -y                        2025-03-01 20:29:20               115
170 dnf remove eza                        2025-02-27 22:33:10                 1
169 dnf remove tldr                       2025-02-27 22:22:12                 4
168 dnf reinstall tldr                    2025-02-27 18:59:14                 2
167 dnf upgrade -y                        2025-02-27 12:29:45                18
166 /usr/bin/dnf -y install /home/nachmen 2025-02-27 06:52:20                 2
165 dnf upgrade -y                        2025-02-27 06:26:16                 4
164 dnf remove tilix                      2025-02-26 19:26:31                 3
163 dnf upgrade -y                        2025-02-25 07:17:56                10
162 /usr/bin/dnf install -y gnome-shell-e 2025-02-24 09:38:47                 4
161 dnf install /home/nachmen/megasync-Fe 2025-02-24 09:37:59                 6
160 dnf upgrade -y                        2025-02-24 04:38:02                 2
159 dnf install ddgr                      2025-02-23 11:40:07                 1
158 dnf upgrade -y                        2025-02-23 05:57:54               100
157 dnf remove wl-clipboard               2025-02-20 17:54:27                 1
156 dnf upgrade -y                        2025-02-20 11:35:56                14
155 dnf autoremove                        2025-02-20 05:54:25                 4
154 dnf upgrade -y                        2025-02-20 05:50:55                44
153 dnf upgrade -y                        2025-02-19 06:52:11                40
152 dnf install gparted                   2025-02-18 09:01:59                 1
151 dnf install tldr                      2025-02-17 11:29:13                 4
150 dnf install gdu                       2025-02-17 10:39:54                 1
149 dnf upgrade -y                        2025-02-17 06:43:46                 6
